date,number of daily cases,number of daily deaths
Feb 15,0,0
Feb 16,0,0
Feb 17,0,0
Feb 18,0,0
Feb 19,0,0
Feb 20,0,0
Feb 21,0,0
Feb 22,0,0
Feb 23,0,0
Feb 24,0,0
Feb 25,2,0
Feb 26,4,1
Feb 27,20,0
Feb 28,19,0
Feb 29,43,0
Mar 01,30,0
Mar 02,61,1
Mar 03,21,1
Mar 04,73,0
Mar 05,138,3
Mar 06,230,2
Mar 07,296,7
Mar 08,260,3
Mar 09,203,11
Mar 10,372,3
Mar 11,497,15
Mar 12,595,13
Mar 13,785,18
Mar 14,838,12
Mar 15,924,36
Mar 16,1210,21
Mar 17,1097,27
Mar 18,1404,89
Mar 19,1861,108
Mar 20,1617,78
Mar 21,1847,112
Mar 22,1559,112
Mar 23,3838,186
Mar 24,2448,240
Mar 25,2929,231
Mar 26,3922,365
Mar 27,3809,299
Mar 28,4611,319
Mar 29,2599,292
Mar 30,4376,418
Mar 31,7578,499
Apr 01,4861,509
Apr 02,2116,1355
Apr 03,17355,1120
Apr 04,6559,1053
Apr 05,4700,518
Apr 06,2733,833
Apr 07,8728,1417
Apr 08,3881,541
Apr 09,4635,1341
Apr 10,6231,987
Apr 11,4251,635
Apr 12,2455,561
Apr 13,3665,574
Apr 14,5955,762
Apr 15,3391,1438
Apr 16,7128,753
Apr 17,2344,761
Apr 18,3666,642
Apr 19,1062,395
Apr 20,2434,547
Apr 21,3253,531
Apr 22,2413,544
Apr 23,2239,516
